"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Dwight Einhorn"||"6/18/2014 9:30:39 AM"|"UPDATE: Morgan Stanley Initiates Coverage On Tuniu On Low Earnings Visibility"|"In a report published Wednesday, Morgan Stanley ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/th_sNB-R9dM> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/th_sNB-R9dM/update-morgan-stanley-initiates-coverage-on-tuniu-on-low> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Wednesday, Morgan Stanley ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/th_sNB-R9dM"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/th_sNB-R9dM/update-morgan-stanley-initiates-coverage-on-tuniu-on-low"">View article...</A></p></body></html>"
|"Monica Gerson"||"6/18/2014 9:16:29 AM"|"Benzinga's Top Initiations"|"Analysts at JMP Securities initiated coverage on shares of Compugen ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/bJzixL9BEWg> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/bJzixL9BEWg/benzingas-top-initiations> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Analysts at JMP Securities initiated coverage on shares of Compugen ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/bJzixL9BEWg"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/bJzixL9BEWg/benzingas-top-initiations"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/18/2014 10:06:55 AM"|"UPDATE: Morgan Stanley Resumes Coverage On Actavis Following Forest Acquisition"|"In a report published Wednesday, Morgan Stanley analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/cqzapvh7hU0> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/cqzapvh7hU0/update-morgan-stanley-resumes-coverage-on-actavis-follow> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Wednesday, Morgan Stanley analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/cqzapvh7hU0"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/cqzapvh7hU0/update-morgan-stanley-resumes-coverage-on-actavis-follow"">View article...</A></p></body></html>"
|"Luke Jacobi"||"6/18/2014 9:53:25 AM"|"Morgan Stanley Weighs In On Pandora Growth, Value"|"Morgan Stanley started coverage of Pandora ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/6Obp-Wz4ygY> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/6Obp-Wz4ygY/morgan-stanley-weighs-in-on-pandora-growth-value> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  Morgan Stanley started coverage of <strong>Pandora</strong> ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/6Obp-Wz4ygY"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/6Obp-Wz4ygY/morgan-stanley-weighs-in-on-pandora-growth-value"">View article...</A></p></body></html>"
|"Paul Quintaro"||"6/18/2014 6:24:55 PM"|"Fuel Cell Stocks Rally Amid Bullish Analyst Comments"|"The fuel-cell sector was absolutely on ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/JeZn0vb4TAQ> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/JeZn0vb4TAQ/fuel-cell-stocks-rally-amid-bullish-analyst-comments> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>The fuel-cell sector was absolutely on ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/JeZn0vb4TAQ"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/JeZn0vb4TAQ/fuel-cell-stocks-rally-amid-bullish-analyst-comments"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 11:39:47 AM"|"Morgan Stanley Initiates Coverage On The Network Sector"|"Earlier Wednesday morning, Morgan Stanley issued research notes initiating coverage on a ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/DMxKhVZulNM> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/DMxKhVZulNM/morgan-stanley-initiates-coverage-on-the-network-sector> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  Earlier Wednesday morning, Morgan Stanley issued research notes initiating coverage on a ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/DMxKhVZulNM"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/DMxKhVZulNM/morgan-stanley-initiates-coverage-on-the-network-sector"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/19/2014 9:35:46 AM"|"Monster Beverage Shares Receive A Bump Following BTIG Initiation"|"In a note dated June 18, BTIG analyst Theo Brito initiated coverage on Monster Beverage ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/drZxTW4gsOs> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/drZxTW4gsOs/monster-beverage-shares-receive-a-bump-following-btig-in> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note dated June 18, BTIG analyst Theo Brito initiated coverage on <strong>Monster Beverage</strong> ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/drZxTW4gsOs"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/drZxTW4gsOs/monster-beverage-shares-receive-a-bump-following-btig-in"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/19/2014 8:06:28 AM"|"UPDATE: BTIG Initiates Coverage On Keurig Green Mountain"|"In a note date June 18, BTIG analyst Theo ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/smasaWboPRE> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/smasaWboPRE/update-btig-initiates-coverage-on-keurig-green-mountain> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note date June 18, BTIG analyst Theo ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/smasaWboPRE"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/smasaWboPRE/update-btig-initiates-coverage-on-keurig-green-mountain"">View article...</A></p></body></html>"
|"Monica Gerson"||"6/19/2014 8:01:46 AM"|" Benzinga's Top Initiations"|"Analysts at BTIG Research initiated coverage on shares of Dr Pepper Snapple ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/2rdyudizDok> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/2rdyudizDok/benzingas-top-initiations> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Analysts at BTIG Research initiated coverage on shares of Dr Pepper Snapple ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/2rdyudizDok"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/2rdyudizDok/benzingas-top-initiations"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/19/2014 7:57:07 AM"|"UPDATE: MLV & Co. Initiates Coverage On Sorrento Therapeutics On Good Cynviloq Potential"|"In a report published Thursday, MLV & Co. ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/RM2TN2SROk0> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/RM2TN2SROk0/update-mlv-co-initiates-coverage-on-sorrento-therapeutic> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Thursday, MLV &amp; Co. ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/RM2TN2SROk0"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/RM2TN2SROk0/update-mlv-co-initiates-coverage-on-sorrento-therapeutic"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/20/2014 2:13:41 PM"|"Drexel Hamilton Initiates Coverage On Oil Service Stocks"|"The team at Drexel Hamilton initiated coverage on a ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/32mCHFI68IM> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/32mCHFI68IM/drexel-hamiltion-initiates-coverage-on-oil-service-stock> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  The team at Drexel Hamilton initiated coverage on a ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/32mCHFI68IM"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/32mCHFI68IM/drexel-hamiltion-initiates-coverage-on-oil-service-stock"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/20/2014 12:16:12 PM"|"Wedbush Assumes Coverage Of PetSmart"|"In a note released Friday, Wedbush analyst Seth Bashman assumed ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/I7N2g3N7u5o> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/I7N2g3N7u5o/wedbush-assumes-coverage-of-petsmart> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a note released Friday, Wedbush analyst Seth Bashman assumed ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/I7N2g3N7u5o"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/I7N2g3N7u5o/wedbush-assumes-coverage-of-petsmart"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/20/2014 10:34:00 AM"|"UPDATE: Credit Suisse Assumes Coverage On JinkoSolar Following Analyst Departure"|"In a report published Friday, Credit Suisse ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Kf6GjcOqDpM> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Kf6GjcOqDpM/update-credit-suisse-assumes-coverage-on-jinkosolar-foll> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Credit Suisse ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Kf6GjcOqDpM"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Kf6GjcOqDpM/update-credit-suisse-assumes-coverage-on-jinkosolar-foll"">View article...</A></p></body></html>"
|"Luke Jacobi"||"6/20/2014 10:15:00 AM"|"UPDATE: Nomura Initiates On JD.com; Calls Company 'Unique' But Not Yet Amazon"|"JD.com (NASDAQ: JD <http://feeds.benzinga.com/stock/jd#NASDAQ> ) ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Io4WOfiJV04> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Io4WOfiJV04/update-nomura-initiates-on-jd-com-calls-company-unique-b> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  <strong>JD.com</strong> (NASDAQ: <a class=""ticker"" href=""/stock/jd#NASDAQ"">JD</a>) ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Io4WOfiJV04"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Io4WOfiJV04/update-nomura-initiates-on-jd-com-calls-company-unique-b"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/20/2014 10:11:07 AM"|"UPDATE: Raymond James Initiates Coverage On TransGlobe Energy On Multiple Positive Factors"|"In a report published Friday, Raymond James analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/FQgTFdx0oqU> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/FQgTFdx0oqU/update-raymond-james-initiates-coverage-on-transglobe-en> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Raymond James analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/FQgTFdx0oqU"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/FQgTFdx0oqU/update-raymond-james-initiates-coverage-on-transglobe-en"">View article...</A></p></body></html>"
|"Erika Janowicz"||"6/20/2014 9:30:20 AM"|"UPDATE: Wells Fargo Initiates Coverage On Deckers"|"Wells Fargo analyst Evren Kopelman initiated coverage ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/T_q6n61bv74> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/T_q6n61bv74/update-wells-fargo-initiates-coverage-on-deckers> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  Wells Fargo analyst Evren Kopelman initiated coverage ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/T_q6n61bv74"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/T_q6n61bv74/update-wells-fargo-initiates-coverage-on-deckers"">View article...</A></p></body></html>"
|"Monica Gerson"||"6/20/2014 7:56:42 AM"|"Benzinga's Top Initiations"|"Analysts at Nomura initiated coverage on shares of JD.com ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/52QnHvHw938> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/52QnHvHw938/benzingas-top-initiations> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Analysts at Nomura initiated coverage on shares of JD.com ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/52QnHvHw938"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/52QnHvHw938/benzingas-top-initiations"">View article...</A></p></body></html>"
